epoch,loss,starts_0_accuracy,starts_0_loss,starts_1_accuracy,starts_1_loss,stops_0_accuracy,stops_0_loss,stops_1_accuracy,stops_1_loss,val_loss,val_starts_0_accuracy,val_starts_0_loss,val_starts_1_accuracy,val_starts_1_loss,val_stops_0_accuracy,val_stops_0_loss,val_stops_1_accuracy,val_stops_1_loss
0,15.22341689662001,0.23590796,3.2751184,0.05217624,4.1452894,0.07420621,3.651433,0.049322154,4.1439605,13.335884558316685,0.3613985,2.4954205,0.06243311,3.9416206,0.12914734,2.9205663,0.060292542,3.969691
1,12.90885430083205,0.32643595,2.5882838,0.08865501,3.7338202,0.20148055,2.7916865,0.062076345,3.7920496,12.259947642402228,0.3731716,2.3397121,0.19229397,3.5808218,0.24973243,2.6334162,0.061719585,3.6957567
2,11.359585556522932,0.36701748,2.1931818,0.19719943,3.350202,0.3379415,2.320178,0.09846593,3.4937415,11.32244651622956,0.37959328,2.1308188,0.36817697,3.2496862,0.27399215,2.4545777,0.06992508,3.4735987
3,10.283231230323075,0.41384232,1.940154,0.34079558,3.0103333,0.3984124,2.0844378,0.21503747,3.2466812,10.516215317597187,0.3778095,2.0556223,0.36889046,2.919267,0.3460578,2.2405818,0.12236889,3.2826452
4,9.569728719307786,0.43248305,1.8389777,0.3651445,2.722896,0.42900464,1.9726411,0.30476275,3.0352426,9.820476978708921,0.40278274,1.8970519,0.36889046,2.71323,0.4256154,2.0670795,0.23617552,3.1236746
5,9.047262110796904,0.4392615,1.7917591,0.37352836,2.503499,0.4382804,1.8968575,0.35283625,2.8549776,9.290395789770752,0.3985016,1.8597542,0.36996076,2.5150244,0.44166964,1.9246435,0.29646808,2.9686537
6,8.660379061391001,0.45852658,1.7441422,0.38556904,2.3443377,0.4509454,1.8681906,0.3902961,2.702521,9.032372552583867,0.39921513,1.8824581,0.369604,2.3898213,0.4438102,1.8619696,0.31359258,2.8758214
7,8.336166986090516,0.45977524,1.7266017,0.39645022,2.2315085,0.46414557,1.8072215,0.41518018,2.569525,8.880767481691958,0.40135568,1.9099485,0.3721013,2.3346958,0.445594,1.8239374,0.35283625,2.7869866
8,8.096234254908484,0.46744558,1.7037491,0.4067071,2.1412838,0.47493756,1.7945012,0.43970746,2.456785,8.443564377892583,0.4191937,1.7714362,0.3788798,2.235713,0.47092402,1.7614732,0.38530147,2.6435344
9,7.878088675181525,0.47797003,1.6767491,0.41500178,2.0774183,0.47654298,1.7588135,0.44256154,2.363769,8.446296041708438,0.4084909,1.8242756,0.37959328,2.238403,0.47128078,1.7621841,0.394934,2.5927775
10,7.724955912279394,0.47351053,1.6592813,0.42552623,2.0149088,0.4781484,1.7559661,0.45602927,2.294265,7.711268026234208,0.45629683,1.6375114,0.40420976,2.065226,0.48697823,1.6509668,0.46307528,2.3356276
11,7.589764379834091,0.47966465,1.6507705,0.43168035,1.9782029,0.487335,1.7285038,0.46048877,2.2319572,7.580451889119742,0.43881556,1.6323303,0.40171245,2.022577,0.49518374,1.6359653,0.4702105,2.2628858
12,7.477890199054959,0.4807349,1.6501625,0.44247234,1.9403087,0.48572958,1.7148191,0.47163752,2.1726375,7.487857920333313,0.454513,1.6252131,0.41098824,1.9972802,0.4991081,1.6097956,0.4673564,2.2235212
13,7.373706511757096,0.4818052,1.632513,0.44470212,1.9082577,0.48929718,1.6997067,0.4727078,2.1337724,7.615023288223261,0.45023188,1.6877514,0.41134498,2.0131335,0.49661076,1.637455,0.45986444,2.2347822
14,7.238681620714539,0.48804852,1.6144319,0.45433465,1.8783466,0.49857295,1.6598015,0.4818052,2.0868266,7.382642698849349,0.45772386,1.6113647,0.41598287,1.9716159,0.49982163,1.5988866,0.47449163,2.1726863
15,7.1650053579552955,0.48795933,1.6174163,0.45986444,1.8493637,0.50124866,1.6501187,0.4900999,2.0493658,7.398887532547547,0.4655726,1.635993,0.43168035,1.9481454,0.49946487,1.6355424,0.47092402,2.1459014
