epoch,loss,starts_0_accuracy,starts_0_loss,starts_1_accuracy,starts_1_loss,stops_0_accuracy,stops_0_loss,stops_1_accuracy,stops_1_loss,val_loss,val_starts_0_accuracy,val_starts_0_loss,val_starts_1_accuracy,val_starts_1_loss,val_stops_0_accuracy,val_stops_0_loss,val_stops_1_accuracy,val_stops_1_loss
0,15.376541960379758,0.21182661,3.3862245,0.05137353,4.1500773,0.07268997,3.6743402,0.044149127,4.158851,13.704857571057834,0.3560471,2.7911541,0.049232963,3.9398441,0.07384945,3.0224788,0.06778452,3.959486
1,13.057081373597825,0.32251158,2.6520958,0.089100964,3.7484353,0.20906173,2.8419988,0.06501962,3.8116035,12.44146866616376,0.3560471,2.5834095,0.06778452,3.5613241,0.19942918,2.636625,0.07955762,3.66587
2,11.83747210181104,0.3434713,2.406394,0.21940778,3.390294,0.30833036,2.512038,0.11023903,3.5252883,11.455683885792771,0.35925794,2.2678378,0.3560471,3.267196,0.31930074,2.4540312,0.095255084,3.4698312
3,10.756125399099263,0.37495542,2.1267514,0.34864432,3.0639381,0.3478416,2.2757978,0.18043168,3.287594,10.73015553688433,0.3642526,2.1789486,0.35640386,2.9524784,0.3449875,2.3125246,0.11059579,3.2922256
4,9.914411114744743,0.40813413,1.9519718,0.35667142,2.7792485,0.39627185,2.100225,0.26409206,3.0812218,10.407387617780104,0.36567962,2.231139,0.35640386,2.734768,0.35676062,2.234936,0.14555833,3.2141047
5,9.223724057323118,0.42427757,1.8608266,0.36639315,2.5498493,0.44059935,1.9239551,0.34855512,2.8879347,9.799603380903447,0.37352836,2.1167154,0.35711738,2.5779517,0.43239385,2.0359933,0.27399215,3.0732381
6,8.712182294033784,0.4411345,1.7959782,0.37495542,2.3837206,0.4619158,1.8193498,0.40679628,2.7127147,8.993313245334415,0.3885123,1.9371239,0.3596147,2.4171999,0.46129146,1.7985581,0.36639315,2.85081
7,8.355006630999933,0.447467,1.7539527,0.38565823,2.2639925,0.46842667,1.7766403,0.43667498,2.5596716,8.669524938601747,0.39921513,1.9222401,0.36353907,2.3180358,0.49161613,1.7279419,0.41348556,2.71091
8,8.096674859077217,0.45076704,1.7210513,0.39466643,2.1775632,0.47404566,1.7515056,0.4465751,2.4459245,8.155041927701015,0.4313236,1.7731401,0.37388512,2.199934,0.49304315,1.6633369,0.45843738,2.5274575
9,7.812970534503949,0.46958616,1.675822,0.41259366,2.090548,0.4909026,1.7118889,0.46084553,2.3343043,8.345847493531318,0.4095612,1.929861,0.3788798,2.241145,0.49661076,1.6587371,0.43417767,2.525241
10,7.6700515944405705,0.46423474,1.673225,0.41803426,2.0456731,0.49117017,1.6974454,0.47074562,2.2533565,7.953271975740126,0.42704245,1.7821676,0.38922584,2.133597,0.505173,1.6576368,0.46271852,2.389158
11,7.509592427979441,0.47172672,1.6447806,0.42766678,1.9958751,0.49562967,1.6765155,0.47966465,2.194448,7.48848879273517,0.4573671,1.6773034,0.41241527,2.021303,0.49839458,1.6011387,0.4898323,2.197152
12,7.4196473489775645,0.46780235,1.6497322,0.43203712,1.9560566,0.49339992,1.6726451,0.4792187,2.1426299,7.404024517115125,0.45879415,1.6335745,0.41134498,1.9974017,0.514092,1.597599,0.48697823,2.1864204
13,7.306997421168022,0.4764538,1.6265557,0.44238317,1.9181281,0.5016946,1.6680045,0.48849446,2.09599,7.391206308215846,0.45701036,1.6612929,0.42953977,1.960928,0.48127007,1.6628143,0.48055655,2.121085
14,7.227811330563249,0.47975382,1.6166954,0.44773456,1.8960316,0.5027649,1.6488439,0.48876205,2.0669365,7.261275217612216,0.46129146,1.6262852,0.43560472,1.9297113,0.49304315,1.6271181,0.49125937,2.0903246
15,7.13138590359152,0.4863539,1.6013957,0.45513734,1.8574932,0.50508386,1.6405911,0.49250802,2.031246,7.133393024658247,0.4655726,1.6115338,0.44166964,1.8932756,0.50124866,1.5956992,0.49803782,2.0444684
16,7.052751842754635,0.48564038,1.5895203,0.4546022,1.8322686,0.50508386,1.6301271,0.49527293,2.0019681,7.424185779066627,0.44452372,1.7573341,0.42989653,1.97092,0.5069568,1.6139382,0.47698894,2.0980432
17,6.980790665436335,0.4875134,1.5859696,0.46057796,1.8108224,0.5031217,1.6065408,0.49491617,1.9777354,7.141492051564494,0.47306457,1.6257806,0.44987515,1.8818089,0.50410277,1.6170473,0.49161613,2.0228515
18,7.008527755397071,0.48207277,1.5917405,0.45576167,1.8196781,0.5008027,1.6327401,0.49777025,1.9664872,7.124716887676499,0.47128078,1.6385628,0.45522654,1.8521223,0.49768105,1.630133,0.49339992,2.0161133
19,6.865329291962573,0.49429184,1.5678291,0.4773457,1.7707368,0.5193543,1.5957446,0.5059757,1.9342098,7.004008751786525,0.47235104,1.5971562,0.4680699,1.8221483,0.4919729,1.6036786,0.49696752,1.9903394
0,6.76445844825829,0.49687836,1.5411099,0.4727078,1.7544369,0.5193543,1.5673279,0.5108812,1.9009056,6.951880998880235,0.47591865,1.5759128,0.46592936,1.8173628,0.4955405,1.5891827,0.50303245,1.9781538
1,6.7466172602106065,0.5054406,1.5217652,0.48153764,1.7427773,0.5209597,1.5759616,0.51480556,1.9065278,6.929242395563633,0.47877273,1.5665016,0.4609347,1.8168612,0.49946487,1.581995,0.5026757,1.972652
2,6.705959705212607,0.49937567,1.5271447,0.4801106,1.7393355,0.52122724,1.5527359,0.517838,1.8860325,6.917833782118472,0.4762754,1.5601717,0.45843738,1.8177189,0.50124866,1.5775367,0.50802714,1.9711596
3,6.716612932216768,0.50222975,1.5188831,0.4771673,1.7361289,0.5166786,1.5658001,0.5180164,1.8972011,6.913462230915092,0.4762754,1.5577894,0.4573671,1.8182093,0.5019622,1.5758476,0.5044595,1.9699248
4,6.7146011855063845,0.49785945,1.5214915,0.48242953,1.7366713,0.5233678,1.5677457,0.52140564,1.887726,6.914063460649102,0.47520512,1.5568064,0.45415625,1.8204335,0.5023189,1.574032,0.50552976,1.9710804
5,6.681718259465044,0.5007135,1.5193409,0.4836782,1.7375325,0.52586514,1.5453548,0.5210489,1.8792388,6.9124241084487705,0.4748484,1.5555559,0.454513,1.8212142,0.50124866,1.5733987,0.505173,1.9706606
6,6.679673445637295,0.49875134,1.5239605,0.4810025,1.7376758,0.5224759,1.5404115,0.5152515,1.8780345,6.908398375781655,0.4748484,1.552907,0.45522654,1.8199512,0.5008919,1.5745634,0.5069568,1.9689507
7,6.683526032999334,0.49973243,1.5169066,0.47805923,1.7295938,0.523457,1.5564042,0.5190867,1.8809139,6.900596567106978,0.47520512,1.5500956,0.45594007,1.8172458,0.50053513,1.5749155,0.5069568,1.9669142
8,6.693650825084043,0.49955404,1.5366654,0.48260793,1.7379432,0.5299679,1.5457039,0.5247949,1.8725091,6.902045047670188,0.47449163,1.5498632,0.4555833,1.8184876,0.5019622,1.5752877,0.5048163,1.9671928
9,6.694613715473601,0.5008919,1.5147918,0.4801106,1.7382488,0.5223867,1.5579696,0.5165002,1.8852302,6.899055550704885,0.4755619,1.5484481,0.4573671,1.8178006,0.5008919,1.5754181,0.505173,1.9663516
0,6.641385719600083,0.50258654,1.5053283,0.4863539,1.7205161,0.5289868,1.5465882,0.5238138,1.8699929,6.7964079858913955,0.4891188,1.513731,0.47306457,1.7737763,0.505173,1.5652026,0.51658934,1.9451821
1,6.529121461018383,0.51328933,1.4799896,0.492954,1.7033772,0.537995,1.5046066,0.53032464,1.8373508,6.759148046709238,0.49625403,1.5005609,0.47770247,1.7614975,0.50588655,1.5609566,0.5190867,1.937977
