epoch,loss,starts_0_accuracy,starts_0_loss,starts_1_accuracy,starts_1_loss,stops_0_accuracy,stops_0_loss,stops_1_accuracy,stops_1_loss,val_loss,val_starts_0_accuracy,val_starts_0_loss,val_starts_1_accuracy,val_starts_1_loss,val_stops_0_accuracy,val_stops_0_loss,val_stops_1_accuracy,val_stops_1_loss
0,15.215444995895098,0.25142705,3.228731,0.05824117,4.1342463,0.07590082,3.6867867,0.050035678,4.158199,13.712507015885603,0.277203,2.7296016,0.15447734,3.9407647,0.23688905,3.0550125,0.053870853,3.991849
1,12.852185792341174,0.3351766,2.548953,0.14020692,3.7129705,0.22565109,2.7844062,0.05948983,3.8031015,12.211446272829283,0.34748483,2.360363,0.33999285,3.5848162,0.35176596,2.5629752,0.067427754,3.7079647
2,11.329425427984264,0.3688013,2.1712575,0.33624688,3.3242285,0.34177667,2.3333323,0.12174456,3.4981697,11.273818951353958,0.3713878,2.1533031,0.34391722,3.2809055,0.41705316,2.3561285,0.15911524,3.4884748
3,10.27460749099138,0.413218,1.9429775,0.36728504,2.980939,0.40349627,2.1037486,0.24536212,3.2457635,10.507365900407805,0.37352836,2.0074623,0.34427398,3.0042317,0.45986444,2.1887085,0.226543,3.313384
4,9.503271406393496,0.43542632,1.8323811,0.3802176,2.700609,0.43961826,1.9357204,0.33036032,3.0330977,9.8080251736595,0.37638244,1.9150723,0.34427398,2.7426288,0.48697823,2.0193264,0.30181947,3.1353943
5,8.985008440824053,0.44505885,1.7677059,0.38547984,2.490838,0.45272923,1.8693997,0.37602568,2.8570068,9.245089686771736,0.41455585,1.8463492,0.34677133,2.5651863,0.48519444,1.8879908,0.3713878,2.9575682
6,8.514048443663942,0.45504817,1.7132912,0.39555833,2.3274844,0.4773457,1.7915012,0.42320728,2.6814322,8.888691268986223,0.42704245,1.8022537,0.3496254,2.4413693,0.49946487,1.8230337,0.4131288,2.833517
7,8.210898683788178,0.46860507,1.6778977,0.40911523,2.207023,0.48118088,1.773945,0.4393507,2.5520093,8.325414088042004,0.42454514,1.7394637,0.35925794,2.277272,0.50338924,1.6981244,0.43631822,2.6264637
8,7.995741890789227,0.46940777,1.6684288,0.41633964,2.1341968,0.49045664,1.7493573,0.4521049,2.4434228,8.113431514436503,0.44452372,1.6920484,0.36460936,2.2166307,0.5001784,1.6804816,0.45772386,2.534963
9,7.790850712663567,0.47779164,1.6447799,0.42766678,2.0651054,0.48519444,1.7191585,0.4591509,2.3609326,7.873608137682596,0.44131288,1.6604385,0.37281483,2.1479225,0.5119515,1.6510764,0.46771318,2.4283266
10,7.590940591143235,0.4808241,1.6209774,0.43150195,2.0060632,0.5008027,1.7042699,0.4702105,2.258293,7.5416576458308,0.46485907,1.6036779,0.4031395,2.0470572,0.4991081,1.6257654,0.48162684,2.281728
11,7.472057933684889,0.48688903,1.6138656,0.44425616,1.9605434,0.49589726,1.6934714,0.47609705,2.2054632,7.459659285856663,0.454513,1.6226975,0.4156261,2.0140245,0.4991081,1.6189998,0.4909026,2.2143955
12,7.339190931180695,0.48965394,1.5844722,0.45174813,1.9144455,0.49696752,1.6846054,0.48412415,2.1562057,7.251488768624868,0.46307528,1.5636572,0.42311808,1.9611444,0.50410277,1.6204592,0.49625403,2.1256442
13,7.254338464522592,0.491081,1.5834488,0.45986444,1.8876376,0.5024973,1.6764771,0.49018908,2.1055615,7.174570262921184,0.4666429,1.5733546,0.42454514,1.9331201,0.5115947,1.5793724,0.514092,2.1097906
14,7.151306437459368,0.48938638,1.5769671,0.4591509,1.8610386,0.50321084,1.6467048,0.48956475,2.0673976,7.079350313968502,0.4702105,1.551929,0.43453443,1.9055586,0.51230824,1.5868082,0.50552976,2.0552416
15,7.106172199977367,0.48894042,1.5880555,0.45879415,1.8413337,0.50972176,1.6433892,0.49669996,2.0347803,7.061733751436493,0.47056726,1.5813313,0.45772386,1.8721523,0.5073136,1.6028656,0.5008919,2.028804
16,7.030906034715253,0.5001784,1.5578072,0.46869427,1.8122048,0.50454867,1.6386985,0.48813772,2.021746,6.903701477717639,0.47663218,1.515129,0.44951838,1.8346428,0.5119515,1.5880255,0.50945413,1.9936262
17,6.95396823947701,0.4945594,1.5480453,0.47395647,1.7829593,0.50945413,1.6281861,0.49803782,1.9957439,6.933826670747036,0.47948626,1.5490041,0.462005,1.828701,0.50552976,1.6052493,0.50767034,1.9722477
18,6.921110084130855,0.494381,1.5494943,0.47440243,1.780331,0.5152515,1.619983,0.5036568,1.9704826,6.85934846247259,0.47984302,1.5329733,0.45701036,1.798912,0.50767034,1.6000639,0.49875134,1.9514923
19,6.839505849035986,0.5073136,1.5324492,0.4852836,1.7520667,0.5125758,1.6071019,0.50767034,1.948647,6.8171981722382275,0.4791295,1.5346231,0.46592936,1.7657398,0.5115947,1.6136142,0.5062433,1.9241581
0,6.746103742315732,0.5114163,1.5193202,0.487335,1.7241788,0.5218516,1.5902511,0.5163218,1.9128995,6.769874562206669,0.48412415,1.5147448,0.46842667,1.7598425,0.50945413,1.5996509,0.5098109,1.9171396
1,6.732987127259847,0.5099893,1.5090562,0.48947555,1.725912,0.5218516,1.5860826,0.51328933,1.910698,6.7477504930622105,0.4862647,1.50535,0.46949697,1.755778,0.50767034,1.5952517,0.511238,1.9132786
2,6.741627159009778,0.508919,1.5085931,0.49206206,1.7270966,0.5217624,1.5885819,0.51578665,1.9164497,6.733664172911193,0.48697823,1.5000318,0.4702105,1.753333,0.5098109,1.5910364,0.514092,1.9116863
3,6.710864279043066,0.51320016,1.5004296,0.48849446,1.7241343,0.52122724,1.5788265,0.5160542,1.9075547,6.724519168909558,0.4862647,1.4956099,0.46985373,1.7529678,0.5115947,1.5890274,0.5144488,1.9100494
4,6.719237246600127,0.51328933,1.4991826,0.49232966,1.7235199,0.52220833,1.5877182,0.51400286,1.9062092,6.717755340823862,0.48769176,1.4927095,0.46949697,1.7517279,0.51230824,1.5857067,0.51516235,1.910436
5,6.6869740256487455,0.51828396,1.4949493,0.49348912,1.7110728,0.52122724,1.574461,0.5090974,1.9066682,6.712724505345225,0.48697823,1.4907008,0.4680699,1.7520665,0.5133785,1.583038,0.51480556,1.9100046
6,6.698697386662364,0.5148948,1.4927909,0.487335,1.7217358,0.52203,1.578939,0.5127542,1.9057635,6.709774537210672,0.48662147,1.4898969,0.4691402,1.7505759,0.5119515,1.584071,0.51302177,1.9088783
7,6.679355663186603,0.51462716,1.4921325,0.49170533,1.7136413,0.52220833,1.5717137,0.51748127,1.9021374,6.705019304423174,0.4862647,1.4886495,0.46949697,1.7494246,0.512665,1.5825797,0.5144488,1.9084826
8,6.6760258268042625,0.51302177,1.4960499,0.4884053,1.7196612,0.52871925,1.565327,0.5218516,1.8946439,6.701226313370192,0.48590794,1.4871277,0.46878344,1.7495283,0.5119515,1.5810217,0.514092,1.9079086
9,6.6980164341104915,0.5133785,1.5028583,0.49232966,1.7236012,0.5254192,1.5729988,0.519711,1.8988891,6.697361493935722,0.4884053,1.4859291,0.4702105,1.7477407,0.5119515,1.5800714,0.5144488,1.9077927
0,6.624756182426646,0.5200678,1.4900185,0.49964324,1.6999978,0.527203,1.5483903,0.52203,1.8786827,6.596346438037384,0.49625403,1.4534857,0.48019978,1.7207444,0.5162326,1.5490648,0.5137353,1.8739079
1,6.5438194492651744,0.5238138,1.4558688,0.49678916,1.6849338,0.53335714,1.5362405,0.52408135,1.8706882,6.5375290471572685,0.5008919,1.4347982,0.48519444,1.7005029,0.51516235,1.5441204,0.5205137,1.8586868
2,6.405841017977238,0.5316625,1.425199,0.5075812,1.6552318,0.54397076,1.4936343,0.53647876,1.829946,6.497947807699878,0.50410277,1.4249157,0.48662147,1.692053,0.5173029,1.5302793,0.5255084,1.8510274
3,6.39021316358884,0.5301463,1.4229141,0.5107028,1.6473594,0.543168,1.4909843,0.5388869,1.8282878,6.468628690449459,0.51230824,1.4159726,0.4891188,1.6915027,0.52158403,1.5187138,0.52622193,1.8429278
