epoch,accuracy,loss,val_accuracy,val_loss
0,0.36131933,1.2136026840696092,0.4024024,1.1132468507812545
1,0.4617691,1.0891259458290226,0.4234234,1.0911148249566018
2,0.4437781,1.050642189593508,0.4924925,1.0456505714952051
3,0.56371814,0.9407098915265955,0.4804805,1.0447197993238408
0,0.34032983,50.91301182542426,0.3033033,8.391659342848861
1,0.35232383,10.396542943757156,0.34834835,4.5273067929723245
0,0.4043511,1.203598571691134,0.4677661,1.0345269207475425
1,0.46736684,1.0776883267587232,0.47526237,1.0271381902909171
2,0.47711927,1.0463926926288762,0.43328336,1.0633585320777263
3,0.49212304,1.0357171935598741,0.40929535,1.0584952132455234
0,0.28507125,10.706805573937057,0.32833582,2.3758112658625063
1,0.4748687,1.3593611617510424,0.44827586,1.0376844818981692
2,0.5071268,1.0192944473640775,0.4527736,1.0156040665270507
3,0.53413355,0.9652103573106234,0.45427287,1.0035180575486602
0,0.3548387,1.276439811176406,0.3478261,1.134223556768769
1,0.42310578,1.1328538270794353,0.30284858,1.194386300297155
2,0.4036009,1.1417782938042174,0.44527736,1.0979346106613594
3,0.45386347,1.0818731169546805,0.40029985,1.1193851423763979
0,0.3795949,3.4554721277098146,0.42728636,1.6684169542306904
1,0.4043511,1.6697294930274202,0.4047976,1.367965306299201
2,0.4043511,1.4223491505224366,0.41529235,1.267447320596389
3,0.42010504,1.3160855425808184,0.41979012,1.2184830878985518
0,0.43735933,1.4066763662880557,0.4587706,1.1477550798985197
1,0.46811703,1.1442939194180601,0.49325338,1.0688189854328778
0,0.38859716,1.199106157675598,0.5217391,0.9785055733513439
1,0.44411102,1.1218407337413367,0.4797601,1.0155550771388693
2,0.49062267,1.0162827400721202,0.4587706,1.0155976360169487
3,0.5206302,0.9951954744672382,0.5157421,0.9872121825211052
0,0.38184547,3.865189305392764,0.48125938,1.133832514196679
1,0.51912975,1.0907022630193586,0.49625188,1.0418325097843268
2,0.5378845,0.985114413191301,0.49925038,1.0386179295973084
3,0.5423856,0.9595544248796994,0.50674665,1.0000308628739982
