epoch,loss,starts_0_accuracy,starts_0_loss,starts_1_accuracy,starts_1_loss,stops_0_accuracy,stops_0_loss,stops_1_accuracy,stops_1_loss,val_loss,val_starts_0_accuracy,val_starts_0_loss,val_starts_1_accuracy,val_starts_1_loss,val_stops_0_accuracy,val_stops_0_loss,val_stops_1_accuracy,val_stops_1_loss
0,4.841248104377776,0.36042058,3.0046966,0.3282256,3.21887,0.40215176,3.0330467,0.32480234,3.369365,4.268488793035008,0.40660146,2.7948873,0.34987774,2.8821006,0.4589242,2.7174916,0.47555012,2.8932817
1,2.8923757421580745,0.37525472,2.9115748,0.36628902,2.8953,0.4288043,2.7908804,0.4429864,2.9615126,2.7366714113790422,0.4190709,2.6925843,0.36503667,2.8429453,0.45550123,2.5626986,0.49242052,2.8262353
2,2.8632663320393226,0.379004,2.921911,0.38585052,2.8245368,0.424892,2.8093157,0.44665417,2.893763,2.676687231740042,0.44547677,2.644738,0.43471882,2.6961086,0.4603912,2.6373048,0.49119803,2.7187593
3,2.8345134058503128,0.38976282,2.893354,0.40288532,2.7866096,0.4223653,2.8033774,0.4496699,2.8553953,2.698668412299494,0.43129584,2.6413655,0.40513447,2.7722006,0.43887532,2.6109648,0.47555012,2.7626867
4,2.829262036198324,0.39163747,2.9030323,0.40647158,2.7777011,0.42538103,2.8106608,0.45782053,2.8306184,2.683894614310603,0.44718826,2.616361,0.43398532,2.669353,0.45061123,2.6601017,0.4821516,2.7817004
5,2.817313019109439,0.3906594,2.8933523,0.40508598,2.7696548,0.4336947,2.7940972,0.4601027,2.8149242,2.6959597533955844,0.4249389,2.6777296,0.41442543,2.7402341,0.43814182,2.6547308,0.48435208,2.709071
6,2.8051610121624773,0.39237103,2.8827827,0.4102209,2.7621138,0.42896733,2.7782507,0.46442252,2.7990868,2.6450951400187894,0.44523227,2.636377,0.4364303,2.6650105,0.4393643,2.5973337,0.48948655,2.6782272
7,2.802815452046806,0.39628333,2.8895495,0.4130736,2.7552783,0.42578858,2.774141,0.46719375,2.7930517,2.623769063413289,0.44621027,2.5954254,0.42322737,2.703915,0.4591687,2.524485,0.501956,2.6646118
8,2.8038303054567364,0.39008886,2.8964787,0.41070992,2.7575843,0.4235064,2.7765498,0.464015,2.787641,2.7465134919126926,0.42958435,2.7434106,0.4403423,2.744186,0.42787287,2.773478,0.46919316,2.7257555
9,2.794783191368432,0.39522374,2.8773358,0.40973184,2.7532952,0.42505503,2.765663,0.46099928,2.7832742,2.6672522006233046,0.45525673,2.6811757,0.44694376,2.6869411,0.45696822,2.610812,0.50586796,2.6902514
0,2.6146378990723362,0.4483658,2.6504838,0.45007744,2.632734,0.4664602,2.5566072,0.5236776,2.6156962,2.548419047684425,0.4767726,2.5250537,0.4601467,2.6181874,0.4770171,2.4581234,0.52665037,2.5864453
1,2.598869857038765,0.44347543,2.645582,0.44812128,2.6209211,0.47012797,2.5283058,0.52922,2.595865,2.5452211697119083,0.47408313,2.519707,0.44767725,2.6255543,0.4833741,2.4404826,0.52811736,2.5820696
2,2.5892448028284933,0.44526857,2.6303842,0.4561904,2.6104088,0.47159508,2.5254216,0.53288776,2.5853934,2.5423605149416004,0.47237164,2.5180821,0.4608802,2.614658,0.4782396,2.4521525,0.5330073,2.5716448
3,2.5786002575403826,0.45407122,2.6258383,0.45904312,2.5962183,0.47730052,2.5164673,0.53541446,2.5716312,2.538233994504933,0.4760391,2.5145497,0.46479216,2.599652,0.4804401,2.4492977,0.5344743,2.5781245
4,2.5769663061486625,0.4613253,2.6173544,0.464015,2.591115,0.47159508,2.5239644,0.5345179,2.5722342,2.5409713177342867,0.47457212,2.544263,0.46772617,2.6006901,0.4784841,2.443494,0.52689487,2.565277
5,2.5656026074876412,0.4574945,2.614317,0.4666232,2.5875268,0.48447305,2.5054567,0.5439726,2.549666,2.5475378076138298,0.47090465,2.5148432,0.4606357,2.6189234,0.4655257,2.4742808,0.5195599,2.5728981
6,2.5582887595085984,0.46564513,2.6056685,0.4760779,2.5726316,0.4835765,2.5036483,0.5407939,2.5487087,2.5430903217903267,0.47310513,2.5314631,0.46748167,2.6089547,0.48459658,2.4667428,0.5332518,2.5565636
7,2.5484907683071603,0.4691499,2.5991495,0.4822724,2.5648718,0.48553264,2.4968944,0.5460918,2.5300703,2.549796338652632,0.46503666,2.5406632,0.45012224,2.6217008,0.47114915,2.4510725,0.5249389,2.5756383
8,2.5412435737407453,0.47192112,2.592296,0.48292443,2.5533807,0.496536,2.4969935,0.5544054,2.5189402,2.547818283346871,0.46772617,2.5381913,0.46283618,2.6087818,0.48484108,2.4559867,0.52787286,2.5769734
9,2.5321445111414556,0.4820279,2.582803,0.49205315,2.5398645,0.496699,2.490663,0.55505747,2.5130217,2.5496900869756574,0.47114915,2.5462136,0.4599022,2.6162055,0.48435208,2.4470658,0.52909535,2.5781434
0,2.4466949546139887,0.48422855,2.47204,0.49319422,2.500682,0.52595973,2.3368535,0.56296355,2.4658136,2.3609017302179685,0.5356968,2.3032305,0.51809293,2.438573,0.5794621,2.2427845,0.5924205,2.4442391
1,2.2912963689107144,0.54584724,2.2991493,0.555791,2.3631623,0.588638,2.1784844,0.61765426,2.3084896,2.3169637193889665,0.5442543,2.2798054,0.5129584,2.4330251,0.5779951,2.1664526,0.599511,2.3618345
2,2.1981481529504476,0.58619285,2.199749,0.5960551,2.2674649,0.6328144,2.0934095,0.6552286,2.2123108,2.3831743822121094,0.52787286,2.362776,0.5232274,2.4812274,0.55305624,2.2407372,0.57579464,2.4188154
