epoch,accuracy,loss,val_accuracy,val_loss
0,0.37349397,1.2286463004039474,0.37550202,1.1001083448708775
1,0.45983934,1.0589453767102406,0.38955823,1.105417793534367
2,0.4759036,1.0253971685846168,0.45180723,1.1036020158285118
3,0.5321285,0.9825586267264492,0.4317269,1.1053365248752884
0,0.482,1.0608435745239257,0.48,1.0357521934509277
1,0.518,1.0006378819942474,0.47,1.0649892253875732
2,0.592,0.9169783220291138,0.414,1.1530230655670166
3,0.584,0.9135386390686036,0.488,1.0225660724639893
0,0.312,70.17780406188965,0.408,13.504750114440919
1,0.366,13.440008728027344,0.328,4.611217376708985
0,0.3168168,1.25258260947448,0.34131736,1.1240861066087278
1,0.4129129,1.1558739831139733,0.35628742,1.1285677762802488
2,0.46546546,1.0438692204587094,0.38922155,1.1328561198925544
3,0.4954955,1.0225075703483444,0.39820358,1.1328720603874343
0,0.36036035,61.87737241521612,0.3263473,10.874471547360905
1,0.3843844,12.636668901185732,0.41317365,3.536215700789126
0,0.38709676,1.231048390280458,0.43628186,1.087522318874342
1,0.42310578,1.141159386538243,0.41979012,1.0766192226931788
2,0.47111776,1.058668881364094,0.43328336,1.1007531804480832
3,0.4628657,1.0521997271045562,0.46326837,1.0711452047685455
0,0.40885222,4.812645895536556,0.4317841,1.2820556721408507
1,0.4816204,1.2265583742228292,0.4377811,1.1129429794322963
2,0.48387095,1.0834678748632318,0.4587706,1.0874145865619094
3,0.51387846,1.0247135514705055,0.48425788,1.0681270298393055
0,0.47861966,1.421017112449337,0.5202399,1.0214440177405613
1,0.5618905,0.9889153771532807,0.54722637,0.9683941975347642
0,0.37659416,1.228823719575543,0.36131933,1.135479452370525
1,0.43585896,1.103209497601308,0.42128935,1.096202983491603
2,0.47861966,1.0325867188039437,0.4287856,1.095311205426435
3,0.504126,1.0009861187387568,0.4407796,1.0902463955500314
0,0.34733683,4.415283632922334,0.4707646,1.1295076621168556
1,0.48987246,1.0238723219201158,0.49025488,1.084216246004405
2,0.5536384,0.9537026883513071,0.4737631,1.077503556075661
3,0.5483871,0.9401324796032745,0.4737631,1.0794719300348719
0,0.46136534,1.324332885472111,0.49625188,1.0205995346652692
1,0.54688674,0.9389190934961753,0.50674665,1.0104845783699756
0,0.4943736,1.0787838323618895,0.5982009,0.8906066527609704
1,0.51012754,1.0089640130427933,0.6161919,0.869579651723916
2,0.53863466,0.9590283065296525,0.62668663,0.8760545853374602
3,0.5573893,0.9212787223774422,0.59970015,0.8672055673563498
0,0.41185296,5.562374940959476,0.4287856,1.5947914584644551
1,0.52588147,1.0785870492145342,0.53973013,0.9434997381298974
2,0.5476369,0.9732288508064659,0.54572713,0.9259543343819957
3,0.5483871,0.9619465364340276,0.56071967,0.9146551253019959
0,0.52138036,1.104159434755673,0.54272866,0.9446294398858271
1,0.56414104,0.9079390235709143,0.56071967,0.9056160782409394
