epoch,loss,starts_0_accuracy,starts_0_loss,starts_1_accuracy,starts_1_loss,stops_0_accuracy,stops_0_loss,stops_1_accuracy,stops_1_loss,val_loss,val_starts_0_accuracy,val_starts_0_loss,val_starts_1_accuracy,val_starts_1_loss,val_stops_0_accuracy,val_stops_0_loss,val_stops_1_accuracy,val_stops_1_loss
0,4.5124082717337375,0.5174974,2.7782822,0.5774417,2.8657174,0.5833379,2.9499013,0.5073975,3.1518748,4.116419884908092,0.5104826,2.6531208,0.5847347,2.6403422,0.6148722,3.1316211,0.6138895,2.6798053
1,2.65465195357178,0.53474915,2.696467,0.58617675,2.6061711,0.5990064,2.5920954,0.5907627,2.7437837,2.5235186110523804,0.54891896,2.5745354,0.5946713,2.5335426,0.6215331,2.4280913,0.61978596,2.5900788
2,2.6524986067394596,0.5254136,2.7136154,0.58705026,2.5734925,0.5959491,2.6196876,0.5931102,2.6968343,2.4890613645985544,0.5613671,2.5066354,0.59576327,2.518428,0.6209871,2.3945205,0.62611926,2.527391
0,2.4959095954738824,0.57072663,2.5138283,0.60048044,2.4813595,0.61505705,2.4343183,0.6220451,2.5482893,2.4805876389162123,0.58899325,2.4160197,0.59576327,2.520386,0.6181481,2.4399955,0.6210963,2.540515
1,2.4677258318035586,0.5777147,2.494486,0.60375607,2.4570062,0.6219905,2.4050603,0.632418,2.5117085,2.4627451423370936,0.5773094,2.4435287,0.60307926,2.4748178,0.61978596,2.4126177,0.62579167,2.514219
2,2.4523022749762795,0.58890647,2.4844608,0.61380136,2.435283,0.62881476,2.396279,0.64219034,2.4902494,2.467971193813866,0.574798,2.4660814,0.6005678,2.4820075,0.6219699,2.410303,0.6245905,2.5090601
0,2.4200203810520695,0.5825736,2.4655302,0.6067042,2.4414759,0.6354752,2.3365862,0.65294534,2.432287,2.350757894205667,0.6023149,2.3575597,0.60340685,2.45516,0.6554925,2.2551222,0.6797336,2.3301375
